mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__dropout_conv,param_model__dropout_dense,param_model__learning_rate,param_model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
883.6975638071696,6.157575045245793,2.2581499417622886,0.4258996307660147,0.25,0.5,0.001,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'adam'}",0.9382345214222944,0.8961155803261066,0.9388827315279374,0.9244109444254461,0.020009593802655573,5
855.6923488775889,6.812909081829876,6.3419655958811445,3.1719833252421408,0.25,0.5,0.001,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'sgd'}",0.7357717185773954,0.8980497572602835,0.8846298049679173,0.8394837602685321,0.07353985075540288,14
878.8808319568634,7.787926411600592,2.1742424964904785,0.6334236718768992,0.25,0.5,0.001,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'rmsprop'}",0.6555192018074114,0.9504004402030718,0.9442749112050749,0.8500648510718527,0.13758727596733786,11
918.2737611929575,4.5040328916246475,1.9577357769012451,0.6220717843662612,0.25,0.5,0.005,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'adam'}",0.8514824785840069,0.8524946909815331,0.9001511435492622,0.8680427710382673,0.022707808238034633,10
892.5002032121023,5.961233407189237,2.418166399002075,0.44064987583268717,0.25,0.5,0.005,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'sgd'}",0.9267677767404842,0.9434211986843566,0.5572841641618934,0.809157713195578,0.1782312124605342,17
916.931161403656,10.791772092785346,5.304093599319458,3.8445741434506973,0.25,0.5,0.005,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'rmsprop'}",0.658383180380997,0.9410363393916026,0.8680271883314626,0.8224822360346874,0.1198025016000788,16
965.1249721050262,9.663487860441963,1.921183665593465,0.307939637448066,0.25,0.5,0.01,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'adam'}",0.5961793725440014,0.8966797091797092,0.547359997991,0.6800730265715703,0.15445533128991018,28
929.8248024781545,7.734476939164822,2.148853063583374,0.38523575833483303,0.25,0.5,0.01,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'sgd'}",0.952162430000858,0.9508793107477318,0.9505111542306006,0.9511842983263968,0.0007077857419279366,1
960.643220504125,12.216857425563507,2.485438028971354,0.2652761019102769,0.25,0.5,0.01,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'rmsprop'}",0.7367851277785776,0.7897443930338668,0.7003603294577808,0.7422966167567417,0.036698411304494395,23
967.3934237162272,14.980924351900542,2.405563990275065,0.15442215285847308,0.25,0.75,0.001,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'adam'}",0.8297669518739388,0.9356852577247314,0.7831347323206889,0.8495289806397864,0.06382694851951382,12
927.303767045339,5.165153135873637,2.617234786351522,0.23189057644841682,0.25,0.75,0.001,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'sgd'}",0.8404503762855291,0.8495082768109085,0.8478813292860262,0.8459466607941546,0.003942807554015077,13
952.3476222356161,9.924528213224706,2.436567783355713,0.12318159871604673,0.25,0.75,0.001,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'rmsprop'}",0.3096144303294958,0.25497835497835497,0.6867847347312459,0.4171258400130322,0.1919778022028074,36
960.5016502539316,7.066863859148797,2.3658302625020347,0.3005510781108295,0.25,0.75,0.005,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'adam'}",0.8558140852354827,0.9193215410320673,0.6416648020774752,0.805600142781675,0.11878382657665804,18
909.20214899381,16.209709666110193,2.5628987153371177,0.39190256191763206,0.25,0.75,0.005,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'sgd'}",0.917103051000431,0.9330456458745932,0.9302148241023974,0.9267878403258072,0.006945010016031889,4
936.7712066173553,14.079191891024804,2.573949416478475,0.22032150209747733,0.25,0.75,0.005,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'rmsprop'}",0.8164384560126918,0.496832042226779,0.7862211893393223,0.6998305625262643,0.14407074705189765,25
931.7982196807861,14.009813753242742,2.1678644021352134,0.19856588561596739,0.25,0.75,0.01,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'adam'}",0.7993504312281605,0.28850108225108223,0.5308065306100475,0.5395526813630968,0.20864505058803015,33
877.2984966437022,8.601075000054687,2.8336853981018066,0.16602233194713806,0.25,0.75,0.01,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'sgd'}",0.9411449752334031,0.944293754491123,0.9371884909013917,0.9408757402086393,0.0029069523896812165,2
915.7720785140991,11.739112903999507,2.1573944091796875,0.09990299942273226,0.25,0.75,0.01,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'rmsprop'}",0.5933794401862087,0.7671743461217146,0.6848494475027418,0.6818010779368885,0.070984208337913,27
904.688903093338,24.68065266390294,2.4581961631774902,0.35086637566520806,0.5,0.5,0.001,adam,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'adam'}",0.907173058019128,0.4975848712690818,0.8806139122216379,0.7617906138366158,0.18713605186355667,20
846.6412312984467,7.111341994812318,2.2815353075663247,0.15006542653192076,0.5,0.5,0.001,sgd,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'sgd'}",0.822597480757961,0.835025902460113,0.8363507861310429,0.8313247231163722,0.0061947503889562315,15
862.3436071077982,2.8592967983595847,2.5027891794840493,0.2517917341440627,0.5,0.5,0.001,rmsprop,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'rmsprop'}",0.33700058129643284,0.9441814033919297,0.3251791230130158,0.5354537025671261,0.2890544202339002,34
886.5223787625631,11.185322803442086,2.3508125146230063,0.2610023329672495,0.5,0.5,0.005,adam,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'adam'}",0.8059695883931692,0.592540573461626,0.8842396939474939,0.7609166186007631,0.12327319737989496,21
840.6075467268626,0.9719586593401953,2.3701581160227456,0.39820215535253894,0.5,0.5,0.005,sgd,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'sgd'}",0.8636486966454215,0.9250789780395043,0.9081636597648632,0.8989637781499297,0.02590879174251658,7
860.2569623788198,11.210257655839245,2.2798361778259277,0.10306285299603624,0.5,0.5,0.005,rmsprop,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'rmsprop'}",0.5124617407095573,0.8955457919273709,0.6703483546966174,0.6927852957778485,0.15719607674954889,26
879.032247543335,2.3122589664387863,2.3551326592763266,0.12439556100495014,0.5,0.5,0.01,adam,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'adam'}",0.700413866216268,0.8873351429272482,0.2891832828128331,0.6256440973187831,0.24985235733037914,31
846.0935267607371,22.01100717988258,2.0233121713002524,0.6248199356424446,0.5,0.5,0.01,sgd,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'sgd'}",0.930534494617464,0.9226710058946901,0.9378754260523053,0.9303603088548198,0.006208400416223983,3
879.276593764623,3.168821806457374,2.505354642868042,0.2871731592949655,0.5,0.5,0.01,rmsprop,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'rmsprop'}",0.5938966631379295,0.6243618589013326,0.8027495128488766,0.6736693449627129,0.09211695227396449,29
894.8701938788096,6.101810019573069,2.3825316429138184,0.1902427545409148,0.5,0.75,0.001,adam,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'adam'}",0.8329000178618082,0.8696145229039965,0.933023587878043,0.8785127095479494,0.04135670531979007,8
845.8456428050995,2.5326188530855633,2.4938011169433594,0.2730413880450384,0.5,0.75,0.001,sgd,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'sgd'}",0.7704477321562475,0.7708554603291446,0.7062701031556521,0.7491910985470147,0.030350183355896163,22
880.1144044399261,12.451896383275033,2.6410410404205322,0.23271293398126675,0.5,0.75,0.001,rmsprop,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'rmsprop'}",0.48541270107864,0.6227274187800504,0.6777802919793864,0.5953068039460256,0.08089186236635586,32
918.8102657000223,13.681617690206217,2.6265809535980225,0.08984616418618845,0.5,0.75,0.005,adam,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'adam'}",0.6870020021220895,0.7405675830017936,0.9319445311381436,0.7865047054206755,0.10514077877554022,19
875.533111333847,6.731330657985822,2.8058634599049888,0.45311069067285714,0.5,0.75,0.005,sgd,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'sgd'}",0.8543583387742777,0.8846659553896397,0.8726554270950585,0.8705599070863252,0.012461442113072683,9
935.8411674499512,14.522419646913555,2.604428768157959,0.28040695545476013,0.5,0.75,0.005,rmsprop,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'rmsprop'}",0.7022389728175753,0.7489623680413154,0.7212870432900028,0.7241627947162979,0.019182828693179988,24
963.7677795886993,5.872358754293344,1.923767884572347,0.12732047873546345,0.5,0.75,0.01,adam,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'adam'}",0.6635740048403804,0.6728785103785104,0.5969289097768755,0.6444604749985888,0.033823864604218525,30
791.5758351484934,180.64507965652044,1.723995288213094,0.6174518369894375,0.5,0.75,0.01,sgd,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'sgd'}",0.9034385041208186,0.9219545074808233,0.9115736614637898,0.9123222243551439,0.007577636170937943,6
514.8644790649414,16.79720705543572,0.6393318970998129,0.2450403607210924,0.5,0.75,0.01,rmsprop,"{'model__dropout_conv': 0.5, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'rmsprop'}",0.6145238979845967,0.38769910644910643,0.5952900254385625,0.5325043432907551,0.10269340428626618,35
